ID	Group	Date	Time	BT
S8	LP2	14.06.2020	06:46:01	36,643
S8	LP2	14.06.2020	07:06:01	36,457
S8	LP2	14.06.2020	07:26:01	36,207
S8	LP2	14.06.2020	07:46:01	36,643
S8	LP2	14.06.2020	08:06:01	36,706
S8	LP2	14.06.2020	08:26:01	36,706
S8	LP2	14.06.2020	08:46:01	36,643
S8	LP2	14.06.2020	09:06:01	36,581
S8	LP2	14.06.2020	09:26:01	36,27
S8	LP2	14.06.2020	09:46:01	36,581
S8	LP2	14.06.2020	10:06:01	36,768
S8	LP2	14.06.2020	10:26:01	36,581
S8	LP2	14.06.2020	10:46:01	36,332
S8	LP2	14.06.2020	11:06:01	36,332
S8	LP2	14.06.2020	11:26:01	36,955
S8	LP2	14.06.2020	11:46:01	36,145
S8	LP2	14.06.2020	12:06:01	36,083
S8	LP2	14.06.2020	12:26:01	36,083
S8	LP2	14.06.2020	12:46:01	36,207
S8	LP2	14.06.2020	13:06:01	36,394
S8	LP2	14.06.2020	13:26:01	36,207
S8	LP2	14.06.2020	13:46:01	36,207
S8	LP2	14.06.2020	14:06:01	36,332
S8	LP2	14.06.2020	14:26:01	36,706
S8	LP2	14.06.2020	14:46:01	36,955
S8	LP2	14.06.2020	15:06:01	36,643
S8	LP2	14.06.2020	15:26:01	36,519
S8	LP2	14.06.2020	15:46:01	36,893
S8	LP2	14.06.2020	16:06:01	36,893
S8	LP2	14.06.2020	16:26:01	36,955
S8	LP2	14.06.2020	16:46:01	37,453
S8	LP2	14.06.2020	17:06:01	37,578
S8	LP2	14.06.2020	17:26:01	37,204
S8	LP2	14.06.2020	17:46:01	35,646
S8	LP2	14.06.2020	18:06:01	37,267
S8	LP2	14.06.2020	18:26:01	37,952
S8	LP2	14.06.2020	18:46:01	38,263
S8	LP2	14.06.2020	19:06:01	38,699
S8	LP2	14.06.2020	19:26:01	38,326
S8	LP2	14.06.2020	19:46:01	38,45
S8	LP2	14.06.2020	20:06:01	38,263
S8	LP2	14.06.2020	20:26:01	38,45
S8	LP2	14.06.2020	20:46:01	38,014
S8	LP2	14.06.2020	21:06:01	37,64
S8	LP2	14.06.2020	21:26:01	37,578
S8	LP2	14.06.2020	21:46:01	38,201
S8	LP2	14.06.2020	22:06:01	38,45
S8	LP2	14.06.2020	22:26:01	38,076
S8	LP2	14.06.2020	22:46:01	38,263
S8	LP2	14.06.2020	23:06:01	37,89
S8	LP2	14.06.2020	23:26:01	38,076
S8	LP2	14.06.2020	23:46:01	37,89
S8	LP2	15.06.2020	00:06:01	37,08
S8	LP2	15.06.2020	00:26:01	36,893
S8	LP2	15.06.2020	00:46:01	37,267
S8	LP2	15.06.2020	01:06:01	38,139
S8	LP2	15.06.2020	01:26:01	37,64
S8	LP2	15.06.2020	01:46:01	37,453
S8	LP2	15.06.2020	02:06:01	37,64
S8	LP2	15.06.2020	02:26:01	37,578
S8	LP2	15.06.2020	02:46:01	37,204
S8	LP2	15.06.2020	03:06:01	36,955
S8	LP2	15.06.2020	03:26:01	37,017
S8	LP2	15.06.2020	03:46:01	36,955
S8	LP2	15.06.2020	04:06:01	36,955
S8	LP2	15.06.2020	04:26:01	37,204
S8	LP2	15.06.2020	04:46:01	36,706
S8	LP2	15.06.2020	05:06:01	36,519
S8	LP2	15.06.2020	05:26:01	36,394
S8	LP2	15.06.2020	05:46:01	36,457
S8	LP2	15.06.2020	06:06:01	36,519
S8	LP2	15.06.2020	06:26:01	36,457
S8	LP2	15.06.2020	06:46:01	36,394
S8	LP2	15.06.2020	07:06:01	36,706
S8	LP2	15.06.2020	07:26:01	36,519
S8	LP2	15.06.2020	07:46:01	36,643
S8	LP2	15.06.2020	08:06:01	36,394
S8	LP2	15.06.2020	08:26:01	36,643
S8	LP2	15.06.2020	08:46:01	36,643
S8	LP2	15.06.2020	09:06:01	36,332
S8	LP2	15.06.2020	09:26:01	36,332
S8	LP2	15.06.2020	09:46:01	36,581
S8	LP2	15.06.2020	10:06:01	36,27
S8	LP2	15.06.2020	10:26:01	36,27
S8	LP2	15.06.2020	10:46:01	36,207
S8	LP2	15.06.2020	11:06:01	36,332
S8	LP2	15.06.2020	11:26:01	36,27
S8	LP2	15.06.2020	11:46:01	36,893
S8	LP2	15.06.2020	12:06:01	36,893
S8	LP2	15.06.2020	12:26:01	36,643
S8	LP2	15.06.2020	12:46:01	36,457
S8	LP2	15.06.2020	13:06:01	36,643
S8	LP2	15.06.2020	13:26:01	36,519
S8	LP2	15.06.2020	13:46:01	36,332
S8	LP2	15.06.2020	14:06:01	36,643
S8	LP2	15.06.2020	14:26:01	37,142
S8	LP2	15.06.2020	14:46:01	36,893
S8	LP2	15.06.2020	15:06:01	36,581
S8	LP2	15.06.2020	15:26:01	36,581
S8	LP2	15.06.2020	15:46:01	36,519
S8	LP2	15.06.2020	16:06:01	36,955
S8	LP2	15.06.2020	16:26:01	36,955
S8	LP2	15.06.2020	16:46:01	37,329
S8	LP2	15.06.2020	17:06:01	37,142
S8	LP2	15.06.2020	17:26:01	37,08
S8	LP2	15.06.2020	17:46:01	37,578
S8	LP2	15.06.2020	18:06:01	37,516
S8	LP2	15.06.2020	18:26:01	37,827
S8	LP2	15.06.2020	18:46:01	38,263
S8	LP2	15.06.2020	19:06:01	38,512
S8	LP2	15.06.2020	19:26:01	38,139
S8	LP2	15.06.2020	19:46:01	37,827
S8	LP2	15.06.2020	20:06:01	37,08
S8	LP2	15.06.2020	20:26:01	37,89
S8	LP2	15.06.2020	20:46:01	37,952
S8	LP2	15.06.2020	21:06:01	38,388
S8	LP2	15.06.2020	21:26:01	37,64
S8	LP2	15.06.2020	21:46:01	37,391
S8	LP2	15.06.2020	22:06:01	38,263
S8	LP2	15.06.2020	22:26:01	38,014
S8	LP2	15.06.2020	22:46:01	37,578
S8	LP2	15.06.2020	23:06:01	38,139
S8	LP2	15.06.2020	23:26:01	38,512
S8	LP2	15.06.2020	23:46:01	37,703
S8	LP2	16.06.2020	00:06:01	37,267
S8	LP2	16.06.2020	00:26:01	36,955
S8	LP2	16.06.2020	00:46:01	37,08
S8	LP2	16.06.2020	01:06:01	37,827
S8	LP2	16.06.2020	01:26:01	38,637
S8	LP2	16.06.2020	01:46:01	37,827
S8	LP2	16.06.2020	02:06:01	37,267
S8	LP2	16.06.2020	02:26:01	37,204
S8	LP2	16.06.2020	02:46:01	37,08
S8	LP2	16.06.2020	03:06:01	37,017
S8	LP2	16.06.2020	03:26:01	36,83
S8	LP2	16.06.2020	03:46:01	37,142
S8	LP2	16.06.2020	04:06:01	36,893
S8	LP2	16.06.2020	04:26:01	36,581
S8	LP2	16.06.2020	04:46:01	36,643
S8	LP2	16.06.2020	05:06:01	36,706
S8	LP2	16.06.2020	05:26:01	36,519
S8	LP2	16.06.2020	05:46:01	36,519
S8	LP2	16.06.2020	06:06:01	36,332
S8	LP2	16.06.2020	06:26:01	37,204
S8	LP2	16.06.2020	06:46:01	37,204
S8	LP2	16.06.2020	07:06:01	37,08
S8	LP2	16.06.2020	07:26:01	36,893
S8	LP2	16.06.2020	07:46:01	36,706
S8	LP2	16.06.2020	08:06:01	36,893
S8	LP2	16.06.2020	08:26:01	36,83
S8	LP2	16.06.2020	08:46:01	36,768
S8	LP2	16.06.2020	09:06:01	36,581
S8	LP2	16.06.2020	09:26:01	36,581
S8	LP2	16.06.2020	09:46:01	36,768
S8	LP2	16.06.2020	10:06:01	36,83
S8	LP2	16.06.2020	10:26:01	36,394
S8	LP2	16.06.2020	10:46:01	36,27
S8	LP2	16.06.2020	11:06:01	36,332
S8	LP2	16.06.2020	11:26:01	36,457
S8	LP2	16.06.2020	11:46:01	36,706
S8	LP2	16.06.2020	12:06:01	36,581
S8	LP2	16.06.2020	12:26:01	36,519
S8	LP2	16.06.2020	12:46:01	36,394
S8	LP2	16.06.2020	13:06:01	36,394
S8	LP2	16.06.2020	13:26:01	36,207
S8	LP2	16.06.2020	13:46:01	37,453
S8	LP2	16.06.2020	14:06:01	36,83
S8	LP2	16.06.2020	14:26:01	36,83
S8	LP2	16.06.2020	14:46:01	36,893
S8	LP2	16.06.2020	15:06:01	37,017
S8	LP2	16.06.2020	15:26:01	36,643
S8	LP2	16.06.2020	15:46:01	36,643
S8	LP2	16.06.2020	16:06:01	36,145
S8	LP2	16.06.2020	16:26:01	36,893
S8	LP2	16.06.2020	16:46:01	36,893
S8	LP2	16.06.2020	17:06:01	37,578
S8	LP2	16.06.2020	17:26:01	37,329
S8	LP2	16.06.2020	17:46:01	37,516
S8	LP2	16.06.2020	18:06:01	37,142
S8	LP2	16.06.2020	18:26:01	37,329
S8	LP2	16.06.2020	18:46:01	37,827
S8	LP2	16.06.2020	19:06:01	38,886
S8	LP2	16.06.2020	19:26:01	38,637
S8	LP2	16.06.2020	19:46:01	38,762
S8	LP2	16.06.2020	20:06:01	38,699
S8	LP2	16.06.2020	20:26:01	38,637
S8	LP2	16.06.2020	20:46:01	38,388
S8	LP2	16.06.2020	21:06:01	38,014
S8	LP2	16.06.2020	21:26:01	38,388
S8	LP2	16.06.2020	21:46:01	37,827
S8	LP2	16.06.2020	22:06:01	37,142
S8	LP2	16.06.2020	22:26:01	37,516
S8	LP2	16.06.2020	22:46:01	37,952
S8	LP2	16.06.2020	23:06:01	38,388
S8	LP2	16.06.2020	23:26:01	37,952
S8	LP2	16.06.2020	23:46:01	38,637
S8	LP2	17.06.2020	00:06:01	37,703
S8	LP2	17.06.2020	00:26:01	37,64
S8	LP2	17.06.2020	00:46:01	37,08
S8	LP2	17.06.2020	01:06:01	36,83
S8	LP2	17.06.2020	01:26:01	36,581
S8	LP2	17.06.2020	01:46:01	36,83
S8	LP2	17.06.2020	02:06:01	36,643
S8	LP2	17.06.2020	02:26:01	37,267
S8	LP2	17.06.2020	02:46:01	37,453
S8	LP2	17.06.2020	03:06:01	37,267
S8	LP2	17.06.2020	03:26:01	37,017
S8	LP2	17.06.2020	03:46:01	36,83
S8	LP2	17.06.2020	04:06:01	36,768
S8	LP2	17.06.2020	04:26:01	37,204
S8	LP2	17.06.2020	04:46:01	37,08
S8	LP2	17.06.2020	05:06:01	36,643
S8	LP2	17.06.2020	05:26:01	36,768
S8	LP2	17.06.2020	05:46:01	36,955
S8	LP2	17.06.2020	06:06:01	36,394
S8	LP2	17.06.2020	06:26:01	36,207
S8	LP2	17.06.2020	06:46:01	36,207
S8	LP2	17.06.2020	07:06:01	36,394
S8	LP2	17.06.2020	07:26:01	36,332
S8	LP2	17.06.2020	07:46:01	36,706
S8	LP2	17.06.2020	08:06:01	36,519
S8	LP2	17.06.2020	08:26:01	36,893
S8	LP2	17.06.2020	08:46:01	36,893
S8	LP2	17.06.2020	09:06:01	36,519
S8	LP2	17.06.2020	09:26:01	36,893
S8	LP2	17.06.2020	09:46:01	36,581
S8	LP2	17.06.2020	10:06:01	36,706
S8	LP2	17.06.2020	10:26:01	36,706
S8	LP2	17.06.2020	10:46:01	36,768
S8	LP2	17.06.2020	11:06:01	36,768
S8	LP2	17.06.2020	11:26:01	36,893
S8	LP2	17.06.2020	11:46:01	36,643
S8	LP2	17.06.2020	12:06:01	36,519
S8	LP2	17.06.2020	12:26:01	36,955
S8	LP2	17.06.2020	12:46:01	36,706
S8	LP2	17.06.2020	13:06:01	36,768
S8	LP2	17.06.2020	13:26:01	36,643
S8	LP2	17.06.2020	13:46:01	37,204
S8	LP2	17.06.2020	14:06:01	36,83
S8	LP2	17.06.2020	14:26:01	36,706
S8	LP2	17.06.2020	14:46:01	36,768
S8	LP2	17.06.2020	15:06:01	36,581
S8	LP2	17.06.2020	15:26:01	37,08
S8	LP2	17.06.2020	15:46:01	37,142
S8	LP2	17.06.2020	16:06:01	37,142
S8	LP2	17.06.2020	16:26:01	37,017
S8	LP2	17.06.2020	16:46:01	37,391
S8	LP2	17.06.2020	17:06:01	37,267
S8	LP2	17.06.2020	17:26:01	37,08
S8	LP2	17.06.2020	17:46:01	37,578
S8	LP2	17.06.2020	18:06:01	37,391
S8	LP2	17.06.2020	18:26:01	37,703
S8	LP2	17.06.2020	18:46:01	37,765
S8	LP2	17.06.2020	19:06:01	38,45
S8	LP2	17.06.2020	19:26:01	38,699
S8	LP2	17.06.2020	19:46:01	38,575
S8	LP2	17.06.2020	20:06:01	38,699
S8	LP2	17.06.2020	20:26:01	38,326
S8	LP2	17.06.2020	20:46:01	38,762
S8	LP2	17.06.2020	21:06:01	38,699
S8	LP2	17.06.2020	21:26:01	38,201
S8	LP2	17.06.2020	21:46:01	37,453
S8	LP2	17.06.2020	22:06:01	37,516
S8	LP2	17.06.2020	22:26:01	38,014
S8	LP2	17.06.2020	22:46:01	38,824
S8	LP2	17.06.2020	23:06:01	38,512
S8	LP2	17.06.2020	23:26:01	37,952
S8	LP2	17.06.2020	23:46:01	37,267
S8	LP2	18.06.2020	00:06:01	37,391
S8	LP2	18.06.2020	00:26:01	37,391
S8	LP2	18.06.2020	00:46:01	38,512
S8	LP2	18.06.2020	01:06:01	37,578
S8	LP2	18.06.2020	01:26:01	37,204
S8	LP2	18.06.2020	01:46:01	36,893
S8	LP2	18.06.2020	02:06:01	37,453
S8	LP2	18.06.2020	02:26:01	37,204
S8	LP2	18.06.2020	02:46:01	36,893
S8	LP2	18.06.2020	03:06:01	36,519
S8	LP2	18.06.2020	03:26:01	36,643
S8	LP2	18.06.2020	03:46:01	37,329
S8	LP2	18.06.2020	04:06:01	37,329
S8	LP2	18.06.2020	04:26:01	37,017
S8	LP2	18.06.2020	04:46:01	36,768
S8	LP2	18.06.2020	05:06:01	36,519
S8	LP2	18.06.2020	05:26:01	36,768
S8	LP2	18.06.2020	05:46:01	36,581
S8	LP2	18.06.2020	06:06:01	36,457
S8	LP2	18.06.2020	06:26:01	37,017
S8	LP2	18.06.2020	06:46:01	36,457
S8	LP2	18.06.2020	07:06:01	36,332
S8	LP2	18.06.2020	07:26:01	36,893
S8	LP2	18.06.2020	07:46:01	36,768
S8	LP2	18.06.2020	08:06:01	36,706
S8	LP2	18.06.2020	08:26:01	36,706
S8	LP2	18.06.2020	08:46:01	36,643
S8	LP2	18.06.2020	09:06:01	36,581
S8	LP2	18.06.2020	09:26:01	36,706
S8	LP2	18.06.2020	09:46:01	36,519
S8	LP2	18.06.2020	10:06:01	36,332
S8	LP2	18.06.2020	10:26:01	36,332
S8	LP2	18.06.2020	10:46:01	36,27
S8	LP2	18.06.2020	11:06:01	36,519
S8	LP2	18.06.2020	11:26:01	36,519
S8	LP2	18.06.2020	11:46:01	36,893
S8	LP2	18.06.2020	12:06:01	36,893
S8	LP2	18.06.2020	12:26:01	37,204
S8	LP2	18.06.2020	12:46:01	36,893
S8	LP2	18.06.2020	13:06:01	36,519
S8	LP2	18.06.2020	13:26:01	36,394
S8	LP2	18.06.2020	13:46:01	36,394
S8	LP2	18.06.2020	14:06:01	36,394
S8	LP2	18.06.2020	14:26:01	36,955
S8	LP2	18.06.2020	14:46:01	36,332
S8	LP2	18.06.2020	15:06:01	36,83
S8	LP2	18.06.2020	15:26:01	36,332
S8	LP2	18.06.2020	15:46:01	36,394
S8	LP2	18.06.2020	16:06:01	36,893
S8	LP2	18.06.2020	16:26:01	37,142
S8	LP2	18.06.2020	16:46:01	37,08
S8	LP2	18.06.2020	17:06:01	37,142
S8	LP2	18.06.2020	17:26:01	36,893
S8	LP2	18.06.2020	17:46:01	37,267
S8	LP2	18.06.2020	18:06:01	37,08
S8	LP2	18.06.2020	18:26:01	37,703
S8	LP2	18.06.2020	18:46:01	38,263
S8	LP2	18.06.2020	19:06:01	38,575
S8	LP2	18.06.2020	19:26:01	38,637
S8	LP2	18.06.2020	19:46:01	37,703
S8	LP2	18.06.2020	20:06:01	38,45
S8	LP2	18.06.2020	20:26:01	38,263
S8	LP2	18.06.2020	20:46:01	37,64
S8	LP2	18.06.2020	21:06:01	37,578
S8	LP2	18.06.2020	21:26:01	37,827
S8	LP2	18.06.2020	21:46:01	38,512
S8	LP2	18.06.2020	22:06:01	38,699
S8	LP2	18.06.2020	22:26:01	38,512
S8	LP2	18.06.2020	22:46:01	38,263
S8	LP2	18.06.2020	23:06:01	38,201
S8	LP2	18.06.2020	23:26:01	37,017
S8	LP2	18.06.2020	23:46:01	36,519
S8	LP2	19.06.2020	00:06:01	37,453
S8	LP2	19.06.2020	00:26:01	38,575
S8	LP2	19.06.2020	00:46:01	37,952
S8	LP2	19.06.2020	01:06:01	37,204
S8	LP2	19.06.2020	01:26:01	37,142
S8	LP2	19.06.2020	01:46:01	37,64
S8	LP2	19.06.2020	02:06:01	38,263
S8	LP2	19.06.2020	02:26:01	37,453
S8	LP2	19.06.2020	02:46:01	37,204
S8	LP2	19.06.2020	03:06:01	37,204
S8	LP2	19.06.2020	03:26:01	37,08
S8	LP2	19.06.2020	03:46:01	37,017
S8	LP2	19.06.2020	04:06:01	37,329
S8	LP2	19.06.2020	04:26:01	36,581
S8	LP2	19.06.2020	04:46:01	36,145
S8	LP2	19.06.2020	05:06:01	36,394
S8	LP2	19.06.2020	05:26:01	36,457
S8	LP2	19.06.2020	05:46:01	36,27
S8	LP2	19.06.2020	06:06:01	36,02
S8	LP2	19.06.2020	06:26:01	35,958
S8	LP2	19.06.2020	06:46:01	36,145
S8	LP2	19.06.2020	07:06:01	36,394
S8	LP2	19.06.2020	07:26:01	36,207
S8	LP2	19.06.2020	07:46:01	36,394
S8	LP2	19.06.2020	08:06:01	36,893
S8	LP2	19.06.2020	08:26:01	36,768
S8	LP2	19.06.2020	08:46:01	36,519
S8	LP2	19.06.2020	09:06:01	36,332
S8	LP2	19.06.2020	09:26:01	36,394
S8	LP2	19.06.2020	09:46:01	36,706
S8	LP2	19.06.2020	10:06:01	36,332
S8	LP2	19.06.2020	10:26:01	36,207
S8	LP2	19.06.2020	10:46:01	36,27
S8	LP2	19.06.2020	11:06:01	36,145
S8	LP2	19.06.2020	11:26:01	36,145
S8	LP2	19.06.2020	11:46:01	36,207
S8	LP2	19.06.2020	12:06:01	36,145
S8	LP2	19.06.2020	12:26:01	36,145
S8	LP2	19.06.2020	12:46:01	36,457
S8	LP2	19.06.2020	13:06:01	36,457
S8	LP2	19.06.2020	13:26:01	36,457
S8	LP2	19.06.2020	13:46:01	36,457
S8	LP2	19.06.2020	14:06:01	36,643
S8	LP2	19.06.2020	14:26:01	36,519
S8	LP2	19.06.2020	14:46:01	36,519
S8	LP2	19.06.2020	15:06:01	36,457
S8	LP2	19.06.2020	15:26:01	36,643
S8	LP2	19.06.2020	15:46:01	36,83
S8	LP2	19.06.2020	16:06:01	36,83
S8	LP2	19.06.2020	16:26:01	36,83
S8	LP2	19.06.2020	16:46:01	36,83
S8	LP2	19.06.2020	17:06:01	37,142
S8	LP2	19.06.2020	17:26:01	36,768
S8	LP2	19.06.2020	17:46:01	37,391
S8	LP2	19.06.2020	18:06:01	36,768
S8	LP2	19.06.2020	18:26:01	37,765
S8	LP2	19.06.2020	18:46:01	38,575
S8	LP2	19.06.2020	19:06:01	38,637
S8	LP2	19.06.2020	19:26:01	38,699
S8	LP2	19.06.2020	19:46:01	38,575
S8	LP2	19.06.2020	20:06:01	38,762
S8	LP2	19.06.2020	20:26:01	38,388
S8	LP2	19.06.2020	20:46:01	38,575
S8	LP2	19.06.2020	21:06:01	38,139
S8	LP2	19.06.2020	21:26:01	38,512
S8	LP2	19.06.2020	21:46:01	38,263
S8	LP2	19.06.2020	22:06:01	38,637
S8	LP2	19.06.2020	22:26:01	38,326
S8	LP2	19.06.2020	22:46:01	38,637
S8	LP2	19.06.2020	23:06:01	37,516
S8	LP2	19.06.2020	23:26:01	37,142
S8	LP2	19.06.2020	23:46:01	36,955
S8	LP2	20.06.2020	00:06:01	37,204
S8	LP2	20.06.2020	00:26:01	37,64
S8	LP2	20.06.2020	00:46:01	38,575
S8	LP2	20.06.2020	01:06:01	37,516
S8	LP2	20.06.2020	01:26:01	37,017
S8	LP2	20.06.2020	01:46:01	36,768
S8	LP2	20.06.2020	02:06:01	37,142
S8	LP2	20.06.2020	02:26:01	37,204
S8	LP2	20.06.2020	02:46:01	37,391
S8	LP2	20.06.2020	03:06:01	37,08
S8	LP2	20.06.2020	03:26:01	36,643
S8	LP2	20.06.2020	03:46:01	36,706
S8	LP2	20.06.2020	04:06:01	37,204
S8	LP2	20.06.2020	04:26:01	37,329
S8	LP2	20.06.2020	04:46:01	36,581
S8	LP2	20.06.2020	05:06:01	36,083
S8	LP2	20.06.2020	05:26:01	35,771
S8	LP2	20.06.2020	05:46:01	36,207
S8	LP2	20.06.2020	06:06:01	36,457
S8	LP2	20.06.2020	06:26:01	36,457
S8	LP2	20.06.2020	06:46:01	36,519
S8	LP2	20.06.2020	07:06:01	36,394
S8	LP2	20.06.2020	07:26:01	36,581
S8	LP2	20.06.2020	07:46:01	37,142
S8	LP2	20.06.2020	08:06:01	36,83
S8	LP2	20.06.2020	08:26:01	36,706
S8	LP2	20.06.2020	08:46:01	36,83
S8	LP2	20.06.2020	09:06:01	36,706
S8	LP2	20.06.2020	09:26:01	36,332
S8	LP2	20.06.2020	09:46:01	36,332
S8	LP2	20.06.2020	10:06:01	36,643
S8	LP2	20.06.2020	10:26:01	36,643
S8	LP2	20.06.2020	10:46:01	36,643
S8	LP2	20.06.2020	11:06:01	37,204
S8	LP2	20.06.2020	11:26:01	37,017
S8	LP2	20.06.2020	11:46:01	37,017
S8	LP2	20.06.2020	12:06:01	36,332
S8	LP2	20.06.2020	12:26:01	36,27
S8	LP2	20.06.2020	12:46:01	36,207
S8	LP2	20.06.2020	13:06:01	36,02
S8	LP2	20.06.2020	13:26:01	36,332
S8	LP2	20.06.2020	13:46:01	36,768
S8	LP2	20.06.2020	14:06:01	37,08
S8	LP2	20.06.2020	14:26:01	37,142
S8	LP2	20.06.2020	14:46:01	36,955
S8	LP2	20.06.2020	15:06:01	36,83
S8	LP2	20.06.2020	15:26:01	36,581
S8	LP2	20.06.2020	15:46:01	36,519
S8	LP2	20.06.2020	16:06:01	36,519
S8	LP2	20.06.2020	16:26:01	36,457
S8	LP2	20.06.2020	16:46:01	37,017
S8	LP2	20.06.2020	17:06:01	36,893
S8	LP2	20.06.2020	17:26:01	37,329
S8	LP2	20.06.2020	17:46:01	37,204
S8	LP2	20.06.2020	18:06:01	37,827
S8	LP2	20.06.2020	18:26:01	37,391
S8	LP2	20.06.2020	18:46:01	37,453
S8	LP2	20.06.2020	19:06:01	38,824
S8	LP2	20.06.2020	19:26:01	38,326
S8	LP2	20.06.2020	19:46:01	38,575
S8	LP2	20.06.2020	20:06:01	38,139
S8	LP2	20.06.2020	20:26:01	37,765
S8	LP2	20.06.2020	20:46:01	38,014
S8	LP2	20.06.2020	21:06:01	38,512
S8	LP2	20.06.2020	21:26:01	38,263
S8	LP2	20.06.2020	21:46:01	37,703
S8	LP2	20.06.2020	22:06:01	37,017
S8	LP2	20.06.2020	22:26:01	37,329
S8	LP2	20.06.2020	22:46:01	36,768
S8	LP2	20.06.2020	23:06:01	37,391
S8	LP2	20.06.2020	23:26:01	38,388
S8	LP2	20.06.2020	23:46:01	38,575
S8	LP2	21.06.2020	00:06:01	37,329
S8	LP2	21.06.2020	00:26:01	37,017
S8	LP2	21.06.2020	00:46:01	37,329
S8	LP2	21.06.2020	01:06:01	36,706
S8	LP2	21.06.2020	01:26:01	37,453
S8	LP2	21.06.2020	01:46:01	37,329
S8	LP2	21.06.2020	02:06:01	37,204
S8	LP2	21.06.2020	02:26:01	36,83
S8	LP2	21.06.2020	02:46:01	37,204
S8	LP2	21.06.2020	03:06:01	37,453
S8	LP2	21.06.2020	03:26:01	37,017
S8	LP2	21.06.2020	03:46:01	36,643
S8	LP2	21.06.2020	04:06:01	36,457
S8	LP2	21.06.2020	04:26:01	36,768
S8	LP2	21.06.2020	04:46:01	36,207
S8	LP2	21.06.2020	05:06:01	36,207
S8	LP2	21.06.2020	05:26:01	36,083
S8	LP2	21.06.2020	05:46:01	36,145
S8	LP2	21.06.2020	06:06:01	37,017
S8	LP2	21.06.2020	06:26:01	36,955
S8	LP2	21.06.2020	06:46:01	36,768
S8	LP2	21.06.2020	07:06:01	36,519
S8	LP2	21.06.2020	07:26:01	36,207
S8	LP2	21.06.2020	07:46:01	36,581
S8	LP2	21.06.2020	08:06:01	36,706
S8	LP2	21.06.2020	08:26:01	36,332
S8	LP2	21.06.2020	08:46:01	36,394
S8	LP2	21.06.2020	09:06:01	36,83
S8	LP2	21.06.2020	09:26:01	36,643
S8	LP2	21.06.2020	09:46:01	36,643
S8	LP2	21.06.2020	10:06:01	36,332
S8	LP2	21.06.2020	10:26:01	36,83
S8	LP2	21.06.2020	10:46:01	37,08
S8	LP2	21.06.2020	11:06:01	36,83
S8	LP2	21.06.2020	11:26:01	36,893
S8	LP2	21.06.2020	11:46:01	36,768
S8	LP2	21.06.2020	12:06:01	36,706
S8	LP2	21.06.2020	12:26:01	36,893
S8	LP2	21.06.2020	12:46:01	36,83
S8	LP2	21.06.2020	13:06:01	36,519
S8	LP2	21.06.2020	13:26:01	36,27
S8	LP2	21.06.2020	13:46:01	36,145
S8	LP2	21.06.2020	14:06:01	37,017
S8	LP2	21.06.2020	14:26:01	36,706
S8	LP2	21.06.2020	14:46:01	36,581
S8	LP2	21.06.2020	15:06:01	36,955
S8	LP2	21.06.2020	15:26:01	36,519
S8	LP2	21.06.2020	15:46:01	36,893
S8	LP2	21.06.2020	16:06:01	37,142
S8	LP2	21.06.2020	16:26:01	37,017
S8	LP2	21.06.2020	16:46:01	37,017
S8	LP2	21.06.2020	17:06:01	36,83
S8	LP2	21.06.2020	17:26:01	36,706
S8	LP2	21.06.2020	17:46:01	37,516
S8	LP2	21.06.2020	18:06:01	37,64
S8	LP2	21.06.2020	18:26:01	37,952
S8	LP2	21.06.2020	18:46:01	38,762
S8	LP2	21.06.2020	19:06:01	38,139
S8	LP2	21.06.2020	19:26:01	38,139
S8	LP2	21.06.2020	19:46:01	38,139
S8	LP2	21.06.2020	20:06:01	37,391
S8	LP2	21.06.2020	20:26:01	38,326
S8	LP2	21.06.2020	20:46:01	37,952
S8	LP2	21.06.2020	21:06:01	37,204
S8	LP2	21.06.2020	21:26:01	37,204
S8	LP2	21.06.2020	21:46:01	37,89
S8	LP2	21.06.2020	22:06:01	38,326
S8	LP2	21.06.2020	22:26:01	37,827
S8	LP2	21.06.2020	22:46:01	37,08
S8	LP2	21.06.2020	23:06:01	37,267
S8	LP2	21.06.2020	23:26:01	37,952
S8	LP2	21.06.2020	23:46:01	37,516
S8	LP2	22.06.2020	00:06:01	37,08
S8	LP2	22.06.2020	00:26:01	37,08
S8	LP2	22.06.2020	00:46:01	37,578
S8	LP2	22.06.2020	01:06:01	38,388
S8	LP2	22.06.2020	01:26:01	37,64
S8	LP2	22.06.2020	01:46:01	37,267
S8	LP2	22.06.2020	02:06:01	36,768
S8	LP2	22.06.2020	02:26:01	37,142
S8	LP2	22.06.2020	02:46:01	37,391
S8	LP2	22.06.2020	03:06:01	37,017
S8	LP2	22.06.2020	03:26:01	36,457
S8	LP2	22.06.2020	03:46:01	36,332
S8	LP2	22.06.2020	04:06:01	36,706
S8	LP2	22.06.2020	04:26:01	36,457
S8	LP2	22.06.2020	04:46:01	36,768
S8	LP2	22.06.2020	05:06:01	36,457
S8	LP2	22.06.2020	05:26:01	36,83
S8	LP2	22.06.2020	05:46:01	36,768
S8	LP2	22.06.2020	06:06:01	36,581
S8	LP2	22.06.2020	06:26:01	36,643
S8	LP2	22.06.2020	06:46:01	36,768
S8	LP2	22.06.2020	07:06:01	36,893
S8	LP2	22.06.2020	07:26:01	36,955
S8	LP2	22.06.2020	07:46:01	36,519
S8	LP2	22.06.2020	08:06:01	36,955
S8	LP2	22.06.2020	08:26:01	36,27
